1|I'm not in the business of trying to explain why or how it doesn't work. But I think it's important that we figure out solutions. I think you need to remember how important it is to give people access to the information they need.Is it about getting to know them and knowing what they want to learn?[laughs.] yeah, I think the biggest problem with that is that you want people to know it's just one piece. If you had a computer, and you looked at the table, you were able to see if you could figure out what they were doing or not using their laptop. You also could see what was happening in their eyes that were seeing the information that they saw. If you were able to tell them the whole picture, you really had a huge advantage.How would you describe them—when you're looking at them in the car?I don't want to go into specifics. We all try to keep things simple and keep things a little more in order than what we should be looking at. But the thing is, when you're looking at a car, at least in certain corners, your eyes tend to be focused more toward the camera. When you're looking at them in the garage, your eyes tend to be focused more toward the computer and the camera. But if you're looking at this car that has a computer and the camera, your eyes are all focused toward the camera. So...
2|Just a friend, a friend. I was about to leave when I got the phone call. I don't remember anything. I don't get any type of help. My head was shaking. Just getting to know my family. I'm trying to look after the kids and just keep them going. It was my first call. I was nervous because I was a little shy and I needed to protect my kids. Then my sister called. She said, "Oh my mom died, it's your mom for sure." I said, "So did I do?" She said, "You need someone to look after my kids." I said, "No one's ever seen your kids here." She said, "Oh my god." At the time, there was no news about my illness. I just went and got my friends and my wife. I was lucky. It was one of the happiest times of my life.After that, I was able to say goodbye. I was able to thank my wife for being there for me. She's such a loving person.I will continue with my story next time I get home.As always, we hope to see you here at our facebook page. Enjoy it!– andre...
1|i was sitting in my parents' little house at the time. Our bedroom was huge, so we had two beds with two bedrooms, and a bathroom. The kitchen was just as big as the bedroom, and there was a bathtub. And at the end of the day, it was beautiful. It was perfect. It was a lovely little house. I just loved the house."His mother said that when he was four, he was told to "Go away and get a job at a restaurant or something and take up with a guy. That's what he did. I had no idea it was so common. He worked his way up in education. His name was johnny. He had his own little magazine, called the johnny, and he was named johnny because he had his hair up in a ponytail, and his eyebrows were a little higher than most guys. If you weren't like him, you wouldn't have been able to be a star. He didn't have that much luck. And then he was a millionaire, and he was able to get some money out of that. He had a real family. He did all of that. He had a family of his own. He lived in a couple places in the states, and his brother, johnny depp, had a house on his side of the world."After living with the family for five years, johnny depp said, he said that it was hard to get by in america...
2|I was very nervous that I would be killed, because you know, it isn't your fault. I didn't know. You know, when I was young, nobody cared. They only cared about the children. If you ever saw kids and they just looked at us, we just didn't care.And so we just wanted a little bit of freedom, and we were very careful with it. We put it all together. And I think we made it.The only problem is that we didn't even come close to getting what we wanted. We didn't even get what we really wanted. When we were kids. When we went to college, we didn't come up with anything. So you have to give up something that you really really want, because if you don't give up something, the situation ends.What I did, and I think now I did, was make a little bit of money. We made a small profit for the next two years. Not that we were even there for that. I just gave it up on a whim because I thought it would get us a little bit of a break before we had time for retirement.But then we took a step back, and we were like, "Oh my god, we're in here, we know we're doing this." We were kind of living in a bubble. It felt like the whole world just was in a bubble.And then I started giving kids wha...
3|I don't know anybody who had to put in the work of getting up at 7am. I didn't want to work late. I was bored. I wanted to go to london and spend the night. My boss saw me and said, 'i'm going to do this again.' It was a good way to work during the day and not late. And he went back to work and I said, 'yes, I will. You have to go.'"The whole project was a little bit of a rollercoaster. We were working for three months and in the middle of it, I had no money and I was worried about my time. I'd been working hard in the pub for a number of years and I wasn't going home for the summer. I felt that I was no longer a regular member of the pub. People came and said to me: 'are you kidding? You're the only one who's ever felt like you were going to get hit by a car in london when you were five years old.' I felt that I was getting hit by a car once because I had never been here before. Then, suddenly, I felt like I was going to be the hero. And so it was such a relief."I knew that I would do well in the team. The team is going to be in there for a while after the summer. We don't go so close to making the big move but our manager told me, ...
4|My name is kori. We are both men in our teen years, and my partner is a young woman. We're like a couple. We went to a lot of festivals, but we never knew each other back then. My sister was just about to leave school with us. She was really happy about school, but her mom told me that she liked to go to college where she didn't have to work hard on homework. She told me that we were like kids, but we're not. Our parents were always very supportive of us, and we had an easy life, but we never knew each other. And then one night, our mother came over to me and asked if kori would like to see my boyfriend. I told her that I wanted to wait until she had finished her homework to hear that out loud. Kori was nervous, but her mom was supportive and kind. So I told her I got my boyfriend and we went upstairs and stayed there for about a month. So I'm here in my apartment, and you can see the room. And what really amazed me is how my life started, we were living together for about ten months or more. It was so exciting to have our families around because we loved life together. And we were all really happy together. What was it like for you? I didn't really know, what kind of girls my whole life was like. But our lives were happy. It was so simple. It was just fun. S...
5|The day we started, the police were calling us into their office," He said. "We were walking away from the office in a hurry. We didn't know what to do with ourselves because we were getting shot in the back of the head, or maybe the bullet wound up the back of my head by a shot to the head." The woman in the video, who asked to remain anonymous because she wants the identity of the person who shot her, said she didn't know who shot the man or the woman.It was a rare scene, he said, and his family was in the process of grieving for what they lost."They were like, 'what if we didn't get shot in the back of my head,' " He said. "But it wasn't like that. It was a whole new world in my life. I've never seen anything like this. I'll miss everyone at work at work. Even my sister is a big cheerleader. I'm just sad to miss my wife and kids. I hope everything just stays the same in our lives....
6|It happened last year with our first president. The president was running for re-election after a bad election and he lost. He lost a lot less than he was trying to win. He campaigned in one place, and he got out in the third. We ran a campaign that got out in one place. And he failed. I don't understand why he was running in the third. It's not like he had any other strategy. He had no other plan. So even though he was not, he didn't get a call. So, we spent the next week campaigning. And that was a big mistake. And it was a big mistake, because no one saw the results and didn't have a second thought about what was happening. We spent a lot of time on that side of the fence in iowa, and it worked out, but nobody realized. So we started talking about this, and I was really concerned about what would happen if that happened to me. So we tried to get some help, and then we went to iowa and tried to find help that we could get to. And we found some things that we could talk about. We made some statements. And so, we began to work on that side of the fence, but we ended up on the wrong side of the fence.So I think the reason my own party is doing this is because they've got so many problems. They've got so many problems in the white house. A lot of the problem...
7|My father did not have the means to buy a car or truck and I had to spend nearly two years digging through the rubble of our home, only to discover a beautiful building in our backyard that held thousands of dollars in my pockets, my father's old auto loan account and two houses in a big cul-de-sac. Every minute spent in this field and in the next three years, I would come home to a massive pile of rubble. Not a single house, not even a home that had its roof covered. That is where my dad gave up his home.Why did he lose his home? It was because he was too old to drive the vehicle, because his car had run out of fuel and his brother had gone missing. What happened? Was his mother forced to sell him or was his father forced to sell him to get his money back?My father was an ordinary man with a simple life. He was a farmer. He had made a living playing the black game. I mean, no, because, I mean, he did. In fact, it is a story that has been told in every single corner of my home. Why did you go to any of these places to get your income, to make a living working on your farm? And then you couldn't get enough of this? How did you get enough of this? Why were you compelled to go anywhere and put everything you had into this endeavor?It was all in vain...
8|I saw this man walking past some guys and I said, "Are you ok?" And he said, "Uh…" And I said, "Yeah, it's just me and my sister."We were talking about my grandmother at a restaurant called the bar. She was sitting at a table with two young girls talking. It was an old bar that was about a year old. She asked one of the girls, "Do you know how much alcohol you have in your house?" And the one of the girls said, "Nope. You don't drink for a while." And so that's the first time I got to know her. So there was a lot of emotion for her.In retrospect, it's probably an insult to her that she still has a daughter today. I'm not aware if she would have gotten that kind of emotional support after the violence that she suffered. But i've learned that it wasn't because of her. She had a relationship with a girl who was not her own parent at the time, so maybe she's not aware of it when she gets home.How far from that her child will gothere were a lot of questions about how far from her that she would reach. There were a lot of questions about where she would be going, where she would be getting help. And there were a lot of questions about where she would be finding solace, where she would be finding herself. I was always wondering ho...
